time,lat,lon,depth,chla_acs
43583.33056,27.021318,-157.999424,6,0.083098
43583.32986,27.024518,-157.999341,6,0.082238
43583.32917,27.027734,-157.999158,6,0.084788
43583.32847,27.030949,-157.998889,6,0.083614
43583.32778,27.034173,-157.998691,6,0.083614
43583.32708,27.037381,-157.998391,6,0.082839
43583.32639,27.040586,-157.998063,6,0.081612
43583.32569,27.043811,-157.997848,6,0.081074
43583.325,27.047018,-157.99762,6,0.076254
43583.32431,27.05022,-157.997404,6,0.0761
43583.32361,27.053437,-157.997279,6,0.080399
43583.32292,27.056658,-157.997176,6,0.081198
43583.32222,27.059873,-157.997135,6,0.081928
43583.32153,27.063101,-157.99714,6,0.082035
43583.32083,27.066274,-157.997176,6,0.081569
43583.32014,27.0691,-157.997157,6,0.081542
43583.31944,27.071132,-157.997462,6,0.084404
43583.31875,27.072045,-157.998149,6,0.080863
43583.31806,27.072309,-157.998371,6,0.078716
43583.31736,27.072398,-157.998278,6,0.079664
43583.31667,27.072502,-157.998226,6,0.079513
43583.31597,27.072597,-157.998231,6,0.083773
43583.31528,27.072651,-157.99825,6,0.083852
43583.31458,27.072688,-157.998259,6,0.079564
43583.31389,27.072716,-157.998245,6,0.078192
43583.31319,27.072765,-157.99825,6,0.077506
43583.3125,27.072803,-157.998248,6,0.074487
43583.31181,27.072844,-157.998243,6,0.074942
43583.31111,27.07287,-157.998255,6,0.074693
43583.31042,27.072897,-157.99825,6,0.074384
43583.30972,27.072933,-157.998245,6,0.077736
43583.30903,27.072962,-157.99825,6,0.074441
43583.30833,27.072992,-157.998248,6,0.079241
43583.30764,27.073026,-157.998243,6,0.07808
43583.30694,27.073054,-157.998253,6,0.076284
43583.30625,27.073091,-157.998263,6,0.076477
43583.30556,27.073121,-157.998253,6,0.076233
43583.30486,27.073151,-157.998252,6,0.078638
43583.30417,27.07318,-157.998248,6,0.076949
43583.30347,27.073199,-157.998253,6,0.078314
43583.30278,27.073223,-157.998257,6,0.076019
43583.30208,27.073246,-157.998251,6,0.076196
43583.30139,27.073272,-157.998256,6,0.075671
43583.30069,27.073305,-157.998252,6,0.077859
43583.3,27.073332,-157.998263,6,0.078244
43583.29931,27.073366,-157.99826,6,0.074768
43583.29861,27.073408,-157.998249,6,0.074289
43583.29097,27.073847,-157.998281,6,0.080027
43583.29028,27.073833,-157.998297,6,0.079951
43583.28958,27.073813,-157.998306,6,0.080896
43583.28889,27.073779,-157.998366,6,0.079339
43583.28819,27.073596,-157.998993,6,0.077275
43583.2875,27.073438,-157.999797,6,0.080437
43583.28681,27.07372,-158.000497,6,0.077359
43583.28611,27.074183,-158.000822,6,0.077111
43583.28542,27.074728,-158.000812,6,0.077745
43583.28472,27.075446,-158.000646,6,0.07806
43583.28403,27.076373,-158.000466,6,0.077912
43583.28333,27.077529,-158.000274,6,0.077743
43583.28264,27.079029,-158.000066,6,0.075245
43583.28194,27.081167,-157.999892,6,0.079391
43583.28125,27.08425,-157.999798,6,0.075265
43583.28056,27.087483,-157.999895,6,0.074988
43583.27986,27.090707,-157.999974,6,0.070563
43583.27917,27.093925,-158.000021,6,0.078649
43583.27847,27.097117,-158.00009,6,0.077127
43583.27778,27.100316,-158.000209,6,0.077203
43583.27708,27.103521,-158.000314,6,0.07403
43583.27639,27.106727,-158.000286,6,0.074297
43583.27569,27.10992,-158.00021,6,0.081407
43583.275,27.113104,-158.000163,6,0.078226
43583.27431,27.116286,-158.000148,6,0.07898
43583.27361,27.119484,-158.00021,6,0.079736
